lat,lon,county
4.24454,37.212711,Marsabit
4.24454,37.257626,Unknown
4.24454,40.626309,Unknown
4.24454,40.671224,Unknown
4.24454,40.71614,Mandera
4.24454,40.761056,Mandera
4.24454,40.805972,Mandera
4.24454,40.850888,Unknown
4.199624,33.978776,Unknown
4.199624,34.023691,Turkana
4.199624,34.068607,Turkana
4.199624,34.113523,Turkana
4.199624,34.158439,Turkana
4.199624,34.203354,Turkana
4.199624,34.24827,Turkana
4.199624,34.293186,Turkana
4.199624,34.338102,Turkana
4.199624,34.383017,Turkana
4.199624,34.427933,Turkana
4.199624,34.472849,Turkana
4.199624,34.517765,Turkana
4.199624,34.562681,Turkana
4.199624,34.607596,Turkana
4.199624,34.652512,Turkana
4.199624,34.697428,Turkana
4.199624,34.742344,Turkana
4.199624,34.787259,Turkana
4.199624,34.832175,Turkana
4.199624,34.877091,Turkana
4.199624,34.922007,Turkana
4.199624,34.966922,Turkana
4.199624,35.011838,Turkana
4.199624,35.056754,Turkana
4.199624,35.10167,Turkana
4.199624,35.146585,Turkana
4.199624,35.191501,Turkana
4.199624,35.236417,Turkana
4.199624,35.281333,Turkana
4.199624,35.326249,Turkana
4.199624,35.371164,Turkana
4.199624,35.41608,Turkana
4.199624,35.460996,Turkana
4.199624,35.505912,Turkana
4.199624,35.550827,Turkana
4.199624,35.595743,Turkana
4.199624,35.640659,Turkana
4.199624,35.685575,Turkana
4.199624,35.73049,Turkana
4.199624,35.775406,Turkana
4.199624,35.820322,Turkana
4.199624,35.865238,Turkana
4.199624,35.910153,Turkana
4.199624,36.224564,Marsabit
4.199624,36.26948,Marsabit
4.199624,36.314395,Marsabit
4.199624,36.359311,Marsabit
4.199624,36.404227,Marsabit
4.199624,36.449143,Marsabit
4.199624,36.494058,Marsabit
4.199624,36.538974,Marsabit
4.199624,36.58389,Marsabit
4.199624,36.628806,Marsabit
4.199624,36.673721,Marsabit
4.199624,36.718637,Marsabit
4.199624,36.763553,Marsabit
4.199624,36.808469,Marsabit
4.199624,36.853385,Marsabit
4.199624,36.8983,Marsabit
4.199624,36.943216,Marsabit
4.199624,36.988132,Marsabit
4.199624,37.033048,Marsabit
4.199624,37.077963,Marsabit
4.199624,37.122879,Marsabit
4.199624,37.167795,Marsabit
4.199624,37.212711,Marsabit
4.199624,37.257626,Marsabit
4.199624,37.302542,Unknown
4.199624,40.536477,Unknown
4.199624,40.581393,Unknown
4.199624,40.626309,Mandera
4.199624,40.671224,Mandera
4.199624,40.71614,Mandera
4.199624,40.761056,Mandera
4.199624,40.805972,Mandera
4.199624,40.850888,Mandera
4.199624,40.895803,Unknown
4.154708,34.068607,Turkana
4.154708,34.113523,Turkana
4.154708,34.158439,Turkana
4.154708,34.203354,Turkana
4.154708,34.24827,Turkana
4.154708,34.293186,Turkana
4.154708,34.338102,Turkana
4.154708,34.383017,Turkana
4.154708,34.427933,Turkana
4.154708,34.472849,Turkana
4.154708,34.517765,Turkana
4.154708,34.562681,Turkana
4.154708,34.607596,Turkana
4.154708,34.652512,Turkana
4.154708,34.697428,Turkana
4.154708,34.742344,Turkana
4.154708,34.787259,Turkana
4.154708,34.832175,Turkana
4.154708,34.877091,Turkana
4.154708,34.922007,Turkana
4.154708,34.966922,Turkana
4.154708,35.011838,Turkana
4.154708,35.056754,Turkana
4.154708,35.10167,Turkana
4.154708,35.146585,Turkana
4.154708,35.191501,Turkana
4.154708,35.236417,Turkana
4.154708,35.281333,Turkana
4.154708,35.326249,Turkana
4.154708,35.371164,Turkana
4.154708,35.41608,Turkana
4.154708,35.460996,Turkana
4.154708,35.505912,Turkana
4.154708,35.550827,Turkana
4.154708,35.595743,Turkana
4.154708,35.640659,Turkana
4.154708,35.685575,Turkana
4.154708,35.73049,Turkana
4.154708,35.775406,Turkana
4.154708,35.820322,Turkana
4.154708,35.865238,Turkana
4.154708,35.910153,Turkana
4.154708,35.955069,Turkana
4.154708,36.26948,Marsabit
4.154708,36.314395,Marsabit
4.154708,36.359311,Marsabit
4.154708,36.404227,Marsabit
4.154708,36.449143,Marsabit
4.154708,36.494058,Marsabit
4.154708,36.538974,Marsabit
4.154708,36.58389,Marsabit
4.154708,36.628806,Marsabit
4.154708,36.673721,Marsabit
4.154708,36.718637,Marsabit
4.154708,36.763553,Marsabit
4.154708,36.808469,Marsabit
4.154708,36.853385,Marsabit
4.154708,36.8983,Marsabit
4.154708,36.943216,Marsabit
4.154708,36.988132,Marsabit
4.154708,37.033048,Marsabit
4.154708,37.077963,Marsabit
4.154708,37.122879,Marsabit
4.154708,37.167795,Marsabit
4.154708,37.212711,Marsabit
4.154708,37.257626,Marsabit
4.154708,37.302542,Marsabit
4.154708,37.347458,Marsabit
4.154708,37.392374,Unknown
4.154708,40.446646,Unknown
4.154708,40.491561,Mandera
4.154708,40.536477,Mandera
4.154708,40.581393,Mandera
4.154708,40.626309,Mandera
4.154708,40.671224,Mandera
4.154708,40.71614,Mandera
4.154708,40.761056,Mandera
4.154708,40.805972,Mandera
4.154708,40.850888,Mandera
4.154708,40.895803,Mandera
4.154708,40.940719,Unknown
4.109792,34.068607,Turkana
4.109792,34.113523,Turkana
4.109792,34.158439,Turkana
4.109792,34.203354,Turkana
4.109792,34.24827,Turkana
4.109792,34.293186,Turkana
4.109792,34.338102,Turkana
4.109792,34.383017,Turkana
4.109792,34.427933,Turkana
4.109792,34.472849,Turkana
4.109792,34.517765,Turkana
4.109792,34.562681,Turkana
4.109792,34.607596,Turkana
4.109792,34.652512,Turkana
4.109792,34.697428,Turkana
4.109792,34.742344,Turkana
4.109792,34.787259,Turkana
4.109792,34.832175,Turkana
4.109792,34.877091,Turkana
4.109792,34.922007,Turkana
4.109792,34.966922,Turkana
4.109792,35.011838,Turkana
4.109792,35.056754,Turkana
4.109792,35.10167,Turkana
4.109792,35.146585,Turkana
4.109792,35.191501,Turkana
4.109792,35.236417,Turkana
4.109792,35.281333,Turkana
4.109792,35.326249,Turkana
4.109792,35.371164,Turkana
4.109792,35.41608,Turkana
4.109792,35.460996,Turkana
4.109792,35.505912,Turkana
4.109792,35.550827,Turkana
4.109792,35.595743,Turkana
