month,lat,lon,max_temp_c
static,4.379287,35.505912,627.0000
static,4.379287,35.550827,607.0000
static,4.379287,35.595743,577.0000
static,4.379287,35.640659,555.0000
static,4.379287,35.685575,577.0000
static,4.379287,35.730490,685.0000
static,4.379287,35.775406,756.0000
static,4.379287,35.820322,755.0000
static,4.379287,35.865238,398.0000
static,4.379287,35.910153,370.0000
static,4.379287,35.955069,361.0000
static,4.379287,35.999985,361.0000
static,4.379287,36.044901,361.0000
static,4.379287,36.089817,361.0000
static,4.379287,36.134732,361.0000
static,4.379287,36.179648,361.0000
static,4.379287,36.224564,377.0000
static,4.379287,36.269480,411.0000
static,4.379287,36.314395,444.0000
static,4.379287,36.359311,488.0000
static,4.379287,36.404227,526.0000
static,4.379287,36.449143,617.0000
static,4.379287,36.494058,707.0000
static,4.379287,36.538974,758.0000
static,4.379287,36.583890,746.0000
static,4.379287,36.628806,689.0000
static,4.379287,36.673721,596.0000
static,4.379287,36.718637,512.0000
static,4.379287,36.763553,531.0000
static,4.379287,36.808469,557.0000
static,4.379287,36.853385,607.0000
static,4.379287,36.898300,656.0000
static,4.379287,36.943216,834.0000
static,4.379287,36.988132,1092.0000
static,4.379287,37.033048,1472.0000
static,4.379287,37.077963,1102.0000
static,4.334371,34.068607,767.0000
static,4.334371,34.113523,735.0000
static,4.334371,34.158439,691.0000
static,4.334371,34.203354,665.0000
static,4.334371,34.248270,639.0000
static,4.334371,34.293186,646.0000
static,4.334371,34.338102,955.0000
static,4.334371,34.383017,1122.0000
static,4.334371,34.427933,666.0000
static,4.334371,34.472849,547.0000
static,4.334371,34.517765,539.0000
static,4.334371,34.562681,534.0000
static,4.334371,34.607596,527.0000
static,4.334371,34.652512,511.0000
static,4.334371,34.697428,504.0000
static,4.334371,34.742344,498.0000
static,4.334371,34.787259,493.0000
static,4.334371,34.832175,491.0000
static,4.334371,34.877091,491.0000
static,4.334371,34.922007,489.0000
static,4.334371,34.966922,490.0000
static,4.334371,35.011838,491.0000
static,4.334371,35.056754,492.0000
static,4.334371,35.101670,494.0000
static,4.334371,35.146585,566.0000
static,4.334371,35.191501,521.0000
static,4.334371,35.236417,522.0000
static,4.334371,35.281333,534.0000
static,4.334371,35.326249,565.0000
static,4.334371,35.371164,584.0000
static,4.334371,35.416080,612.0000
static,4.334371,35.460996,660.0000
static,4.334371,35.505912,649.0000
static,4.334371,35.550827,665.0000
static,4.334371,35.595743,652.0000
static,4.334371,35.640659,590.0000
static,4.334371,35.685575,602.0000
static,4.334371,35.730490,741.0000
static,4.334371,35.775406,885.0000
static,4.334371,35.820322,728.0000
static,4.334371,35.865238,401.0000
static,4.334371,35.910153,371.0000
static,4.334371,35.955069,361.0000
static,4.334371,35.999985,361.0000
static,4.334371,36.044901,361.0000
static,4.334371,36.089817,361.0000
static,4.334371,36.134732,361.0000
static,4.334371,36.179648,366.0000
static,4.334371,36.224564,383.0000
static,4.334371,36.269480,407.0000
static,4.334371,36.314395,424.0000
static,4.334371,36.359311,462.0000
static,4.334371,36.404227,539.0000
static,4.334371,36.449143,648.0000
static,4.334371,36.494058,740.0000
static,4.334371,36.538974,841.0000
static,4.334371,36.583890,731.0000
static,4.334371,36.628806,658.0000
static,4.334371,36.673721,591.0000
